#,Date,Airport,Business Jet,Business Aviation,Departures,Arrivals,Total Operations,Departure Seats,Average Departure Seats,Arrival Seats,Average Arrival Seats
Sub-Total for SFO - San Francisco,,,,,"18,175","18,129","36,304","2,372,296",130,"2,369,423",130
Sub-Total for 10/2012,,,,,"407,220","405,230","812,450","46,557,167",114,"46,464,830",114
1336,11/2012,ATL - Atlanta,No,No,"36,539","36,443","72,982","4,823,029",131,"4,810,687",132
1337,11/2012,ATL - Atlanta,No,Yes,160,157,317,"1,716",10,"1,700",10
Sub-Total for No,,,,,"36,699","36,600","73,299","4,824,745",131,"4,812,387",131
1338,11/2012,ATL - Atlanta,Yes,Yes,219,215,434,"2,352",10,"2,309",10
Sub-Total for Yes,,,,,379,372,751,"4,068",10,"4,009",10
Sub-Total for ATL - Atlanta,,,,,"36,918","36,815","73,733","4,827,097",130,"4,814,696",130
1339,11/2012,BOS - Boston,No,No,"11,579","11,507","23,086","1,442,173",124,"1,442,609",125
1340,11/2012,BOS - Boston,No,Yes,"1,361","1,052","2,413","6,019",4,"4,794",4
Sub-Total for No,,,,,"12,940","12,559","25,499","1,448,192",111,"1,447,403",115
1341,11/2012,BOS - Boston,Yes,Yes,865,869,"1,734","9,585",11,"9,624",11
Sub-Total for Yes,,,,,"2,226","1,921","4,147","15,604",7,"14,418",7
Sub-Total for BOS - Boston,,,,,"13,805","13,428","27,233","1,457,777",105,"1,457,027",108
1342,11/2012,CLT - Charlotte,No,No,"21,144","21,133","42,277","2,112,223",99,"2,110,277",99
1343,11/2012,CLT - Charlotte,No,Yes,362,350,712,"2,541",7,"2,447",6
Sub-Total for No,,,,,"21,506","21,483","42,989","2,114,764",98,"2,112,724",98
1344,11/2012,CLT - Charlotte,Yes,Yes,824,821,"1,645","9,155",11,"9,151",11
Sub-Total for Yes,,,,,"1,186","1,171","2,357","11,696",9,"11,598",9
Sub-Total for CLT - Charlotte,,,,,"22,330","22,304","44,634","2,123,919",95,"2,121,875",95
1345,11/2012,DEN - Denver,No,No,"23,964","24,154","48,118","2,508,194",104,"2,535,628",104
1346,11/2012,DEN - Denver,No,Yes,170,156,326,"1,273",7,"1,210",7
Sub-Total for No,,,,,"24,134","24,310","48,444","2,509,467",103,"2,536,838",104
1347,11/2012,DEN - Denver,Yes,Yes,131,139,270,"1,545",11,"1,643",11
Sub-Total for Yes,,,,,301,295,596,"2,818",9,"2,853",9
Sub-Total for DEN - Denver,,,,,"24,265","24,449","48,714","2,511,012",103,"2,538,481",103
1348,11/2012,DFW - Dallas/Ft. Worth,No,No,"26,313","26,223","52,536","3,096,517",117,"3,086,120",117
1349,11/2012,DFW - Dallas/Ft. Worth,No,Yes,166,145,311,"1,838",11,"1,522",10
Sub-Total for No,,,,,"26,479","26,368","52,847","3,098,355",117,"3,087,642",117
1350,11/2012,DFW - Dallas/Ft. Worth,Yes,Yes,185,191,376,"2,002",10,"2,092",10
Sub-Total for Yes,,,,,351,336,687,"3,840",10,"3,614",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"26,664","26,559","53,223","3,100,357",116,"3,089,734",116
1351,11/2012,DTW - Detroit,No,No,"16,843","16,778","33,621","1,632,713",96,"1,627,710",97
1352,11/2012,DTW - Detroit,No,Yes,39,36,75,244,6,212,5
Sub-Total for No,,,,,"16,882","16,814","33,696","1,632,957",96,"1,627,922",96
1353,11/2012,DTW - Detroit,Yes,Yes,241,237,478,"2,552",10,"2,519",10
Sub-Total for Yes,,,,,280,273,553,"2,796",9,"2,731",10
Sub-Total for DTW - Detroit,,,,,"17,123","17,051","34,174","1,635,509",95,"1,630,441",95
1354,11/2012,EWR - Newark,No,No,"16,054","16,098","32,152","1,818,018",113,"1,826,297",113
1355,11/2012,EWR - Newark,No,Yes,212,221,433,"1,830",8,"1,932",8
Sub-Total for No,,,,,"16,266","16,319","32,585","1,819,848",111,"1,828,229",112
1356,11/2012,EWR - Newark,Yes,Yes,255,257,512,"3,015",11,"3,025",11
Sub-Total for Yes,,,,,467,478,945,"4,845",10,"4,957",10
Sub-Total for EWR - Newark,,,,,"16,521","16,576","33,097","1,822,863",110,"1,831,254",110
1357,11/2012,IAH - Houston,No,No,"19,626","19,333","38,959","1,997,386",101,"1,966,326",101
1358,11/2012,IAH - Houston,No,Yes,229,230,459,"2,032",8,"2,038",8
Sub-Total for No,,,,,"19,855","19,563","39,418","1,999,418",100,"1,968,364",100
1359,11/2012,IAH - Houston,Yes,Yes,596,589,"1,185","6,686",11,"6,630",11
Sub-Total for Yes,,,,,825,819,"1,644","8,718",10,"8,668",10
Sub-Total for IAH - Houston,,,,,"20,451","20,152","40,603","2,006,104",98,"1,974,994",98
1360,11/2012,JFK - New York,No,No,"15,818","15,854","31,672","2,584,563",163,"2,585,252",163
1361,11/2012,JFK - New York,No,Yes,52,51,103,329,6,336,6
Sub-Total for No,,,,,"15,870","15,905","31,775","2,584,892",162,"2,585,588",162
1362,11/2012,JFK - New York,Yes,Yes,203,204,407,"2,189",10,"2,194",10
Sub-Total for Yes,,,,,255,255,510,"2,518",9,"2,530",9
Sub-Total for JFK - New York,,,,,"16,073","16,109","32,182","2,587,081",160,"2,587,782",160
1363,11/2012,LAS - Las Vegas,No,No,"14,618","14,279","28,897","2,019,579",138,"1,979,521",138
1364,11/2012,LAS - Las Vegas,No,Yes,335,297,632,"2,384",7,"2,182",7
Sub-Total for No,,,,,"14,953","14,576","29,529","2,021,963",135,"1,981,703",135
1365,11/2012,LAS - Las Vegas,Yes,Yes,"2,000","1,883","3,883","21,277",10,"19,869",10
Sub-Total for Yes,,,,,"2,335","2,180","4,515","23,661",10,"22,051",10
Sub-Total for LAS - Las Vegas,,,,,"16,953","16,459","33,412","2,043,240",120,"2,001,572",121
1366,11/2012,LAX - Los Angeles,No,No,"22,886","22,737","45,623","3,251,605",142,"3,229,286",142
1367,11/2012,LAX - Los Angeles,No,Yes,56,49,105,368,6,320,6
Sub-Total for No,,,,,"22,942","22,786","45,728","3,251,973",141,"3,229,606",141
1368,11/2012,LAX - Los Angeles,Yes,Yes,867,842,"1,709","9,945",11,"9,663",11
Sub-Total for Yes,,,,,923,891,"1,814","10,313",11,"9,983",11
Sub-Total for LAX - Los Angeles,,,,,"23,809","23,628","47,437","3,261,918",137,"3,239,269",137
1369,11/2012,LGA - New York,No,No,"14,394","14,500","28,894","1,463,215",101,"1,475,726",101
1370,11/2012,LGA - New York,No,Yes,33,45,78,225,6,318,7
Sub-Total for No,,,,,"14,427","14,545","28,972","1,463,440",101,"1,476,044",101
1371,11/2012,LGA - New York,Yes,Yes,326,329,655,"3,900",11,"3,946",11
Sub-Total for Yes,,,,,359,374,733,"4,125",11,"4,264",11
Sub-Total for LGA - New York,,,,,"14,753","14,874","29,627","1,467,340",99,"1,479,990",99
1372,11/2012,MCO - Orlando,No,No,"11,236","11,211","22,447","1,665,900",148,"1,666,425",148
1373,11/2012,MCO - Orlando,No,Yes,183,169,352,802,4,738,4
Sub-Total for No,,,,,"11,419","11,380","22,799","1,666,702",145,"1,667,163",146
1374,11/2012,MCO - Orlando,Yes,Yes,672,624,"1,296","6,677",9,"6,316",10
Sub-Total for Yes,,,,,855,793,"1,648","7,479",8,"7,054",8
Sub-Total for MCO - Orlando,,,,,"12,091","12,004","24,095","1,673,379",138,"1,673,479",139
1375,11/2012,MIA - Miami,No,No,"14,602","14,599","29,201","2,279,339",156,"2,288,087",156
1376,11/2012,MIA - Miami,No,Yes,194,164,358,"1,464",7,"1,194",7
Sub-Total for No,,,,,"14,796","14,763","29,559","2,280,803",154,"2,289,281",155
1377,11/2012,MIA - Miami,Yes,Yes,956,994,"1,950","10,379",10,"10,711",10
Sub-Total for Yes,,,,,"1,150","1,158","2,308","11,843",10,"11,905",10
Sub-Total for MIA - Miami,,,,,"15,752","15,757","31,509","2,291,182",145,"2,299,992",145
1378,11/2012,MSP - Minneapolis,No,No,"15,994","15,972","31,966","1,613,389",100,"1,610,948",100
1379,11/2012,MSP - Minneapolis,No,Yes,206,208,414,"1,024",4,"1,042",5
Sub-Total for No,,,,,"16,200","16,180","32,380","1,614,413",99,"1,611,990",99
1380,11/2012,MSP - Minneapolis,Yes,Yes,550,549,"1,099","6,223",11,"6,220",11
Sub-Total for Yes,,,,,756,757,"1,513","7,247",9,"7,262",9
Sub-Total for MSP - Minneapolis,,,,,"16,750","16,729","33,479","1,620,636",96,"1,618,210",96
1381,11/2012,ORD - Chicago,No,No,"34,345","34,277","68,622","3,425,875",99,"3,417,488",99
1382,11/2012,ORD - Chicago,No,Yes,192,190,382,"2,225",11,"2,213",11
Sub-Total for No,,,,,"34,537","34,467","69,004","3,428,100",99,"3,419,701",99
1383,11/2012,ORD - Chicago,Yes,Yes,443,448,891,"4,954",11,"5,012",11
Sub-Total for Yes,,,,,635,638,"1,273","7,179",11,"7,225",11
Sub-Total for ORD - Chicago,,,,,"34,980","34,915","69,895","3,433,054",98,"3,424,713",98
1384,11/2012,PHL - Philadelphia,No,No,"16,878","16,776","33,654","1,536,692",91,"1,536,398",91
1385,11/2012,PHL - Philadelphia,No,Yes,128,132,260,745,5,742,5
Sub-Total for No,,,,,"17,006","16,908","33,914","1,537,437",90,"1,537,140",90
1386,11/2012,PHL - Philadelphia,Yes,Yes,685,681,"1,366","7,458",10,"7,435",10
Sub-Total for Yes,,,,,813,813,"1,626","8,203",10,"8,177",10
Sub-Total for PHL - Philadelphia,,,,,"17,691","17,589","35,280","1,544,895",87,"1,544,575",87
1387,11/2012,PHX - Phoenix,No,No,"16,746","16,364","33,110","2,016,175",120,"2,001,578",122
1388,11/2012,PHX - Phoenix,No,Yes,553,450,"1,003","2,342",4,"1,742",3
Sub-Total for No,,,,,"17,299","16,814","34,113","2,018,517",116,"2,003,320",119
1389,11/2012,PHX - Phoenix,Yes,Yes,629,641,"1,270","6,331",10,"6,425",10
Sub-Total for Yes,,,,,"1,182","1,091","2,273","8,673",7,"8,167",7
Sub-Total for PHX - Phoenix,,,,,"17,928","17,455","35,383","2,024,848",112,"2,009,745",115
1390,11/2012,SEA - Seattle,No,No,"11,663","11,655","23,318","1,520,055",130,"1,518,002",130
1391,11/2012,SEA - Seattle,No,Yes,95,109,204,19,0,37,0
Sub-Total for No,,,,,"11,758","11,764","23,522","1,520,074",129,"1,518,039",129
1392,11/2012,SEA - Seattle,Yes,Yes,75,73,148,814,10,782,10
Sub-Total for Yes,,,,,170,182,352,833,4,819,4
Sub-Total for SEA - Seattle,,,,,"11,833","11,837","23,670","1,520,888",128,"1,518,821",128
1393,11/2012,SFO - San Francisco,No,No,"15,617","15,564","31,181","2,164,800",138,"2,154,425",138
1394,11/2012,SFO - San Francisco,No,Yes,89,94,183,529,5,579,6
Sub-Total for No,,,,,"15,706","15,658","31,364","2,165,329",137,"2,155,004",137
1395,11/2012,SFO - San Francisco,Yes,Yes,735,714,"1,449","8,242",11,"7,980",11
Sub-Total for Yes,,,,,824,808,"1,632","8,771",10,"8,559",10
Sub-Total for SFO - San Francisco,,,,,"16,441","16,372","32,813","2,173,571",132,"2,162,984",132
Sub-Total for 11/2012,,,,,"393,131","391,062","784,193","45,126,670",114,"45,019,634",115
1396,12/2012,ATL - Atlanta,No,No,"36,597","36,497","73,094","4,728,427",129,"4,717,247",129
1397,12/2012,ATL - Atlanta,No,Yes,156,153,309,"1,835",11,"1,797",11
Sub-Total for No,,,,,"36,753","36,650","73,403","4,730,262",128,"4,719,044",128
1398,12/2012,ATL - Atlanta,Yes,Yes,222,226,448,"2,292",10,"2,337",10
Sub-Total for Yes,,,,,378,379,757,"4,127",10,"4,134",10
Sub-Total for ATL - Atlanta,,,,,"36,975","36,876","73,851","4,732,554",127,"4,721,381",128
1399,12/2012,BOS - Boston,No,No,"10,981","10,931","21,912","1,378,967",125,"1,377,468",126
1400,12/2012,BOS - Boston,No,Yes,"1,196","1,006","2,202","5,290",4,"4,562",4
Sub-Total for No,,,,,"12,177","11,937","24,114","1,384,257",113,"1,382,030",115
1401,12/2012,BOS - Boston,Yes,Yes,659,653,"1,312","7,216",10,"7,150",10
Sub-Total for Yes,,,,,"1,855","1,659","3,514","12,506",6,"11,712",7
Sub-Total for BOS - Boston,,,,,"12,836","12,590","25,426","1,391,473",108,"1,389,180",110
1402,12/2012,CLT - Charlotte,No,No,"21,521","21,457","42,978","2,144,904",99,"2,141,164",99
1403,12/2012,CLT - Charlotte,No,Yes,310,303,613,"2,219",7,"2,199",7
Sub-Total for No,,,,,"21,831","21,760","43,591","2,147,123",98,"2,143,363",98
1404,12/2012,CLT - Charlotte,Yes,Yes,753,755,"1,508","8,440",11,"8,450",11
Sub-Total for Yes,,,,,"1,063","1,058","2,121","10,659",10,"10,649",10
Sub-Total for CLT - Charlotte,,,,,"22,584","22,515","45,099","2,155,563",95,"2,151,813",95
1405,12/2012,DEN - Denver,No,No,"25,128","25,113","50,241","2,610,458",103,"2,607,695",103
1406,12/2012,DEN - Denver,No,Yes,203,199,402,"1,509",7,"1,511",7
Sub-Total for No,,,,,"25,331","25,312","50,643","2,611,967",103,"2,609,206",103
1407,12/2012,DEN - Denver,Yes,Yes,178,184,362,"2,075",11,"2,157",11
Sub-Total for Yes,,,,,381,383,764,"3,584",9,"3,668",9
Sub-Total for DEN - Denver,,,,,"25,509","25,496","51,005","2,614,042",102,"2,611,363",102
1408,12/2012,DFW - Dallas/Ft. Worth,No,No,"26,936","26,841","53,777","3,193,847",118,"3,184,325",118
1409,12/2012,DFW - Dallas/Ft. Worth,No,Yes,181,157,338,"1,921",10,"1,597",10
Sub-Total for No,,,,,"27,117","26,998","54,115","3,195,768",117,"3,185,922",118
1410,12/2012,DFW - Dallas/Ft. Worth,Yes,Yes,202,203,405,"2,167",10,"2,162",10
Sub-Total for Yes,,,,,383,360,743,"4,088",10,"3,759",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"27,319","27,201","54,520","3,197,935",117,"3,188,084",117
1411,12/2012,DTW - Detroit,No,No,"15,791","15,763","31,554","1,559,871",98,"1,558,193",98
1412,12/2012,DTW - Detroit,No,Yes,57,59,116,363,6,367,6
Sub-Total for No,,,,,"15,848","15,822","31,670","1,560,234",98,"1,558,560",98
1413,12/2012,DTW - Detroit,Yes,Yes,244,236,480,"2,523",10,"2,445",10
Sub-Total for Yes,,,,,301,295,596,"2,886",9,"2,812",9
Sub-Total for DTW - Detroit,,,,,"16,092","16,058","32,150","1,562,757",97,"1,561,005",97
1414,12/2012,EWR - Newark,No,No,"16,679","16,670","33,349","1,883,206",112,"1,881,622",112
1415,12/2012,EWR - Newark,No,Yes,220,220,440,"1,911",8,"1,863",8
Sub-Total for No,,,,,"16,899","16,890","33,789","1,885,117",111,"1,883,485",111
1416,12/2012,EWR - Newark,Yes,Yes,248,245,493,"2,895",11,"2,847",11
Sub-Total for Yes,,,,,468,465,933,"4,806",10,"4,710",10
Sub-Total for EWR - Newark,,,,,"17,147","17,135","34,282","1,888,012",110,"1,886,332",110
1417,12/2012,IAH - Houston,No,No,"20,351","20,081","40,432","2,078,584",102,"2,044,130",101
1418,12/2012,IAH - Houston,No,Yes,205,204,409,"1,898",9,"1,890",9
Sub-Total for No,,,,,"20,556","20,285","40,841","2,080,482",101,"2,046,020",100
1419,12/2012,IAH - Houston,Yes,Yes,495,494,989,"5,593",11,"5,605",11
Sub-Total for Yes,,,,,700,698,"1,398","7,491",10,"7,495",10
Sub-Total for IAH - Houston,,,,,"21,051","20,779","41,830","2,086,075",99,"2,051,625",98
1420,12/2012,JFK - New York,No,No,"16,643","16,684","33,327","2,727,049",163,"2,733,706",163
1421,12/2012,JFK - New York,No,Yes,26,25,51,173,6,157,6
Sub-Total for No,,,,,"16,669","16,709","33,378","2,727,222",163,"2,733,863",163
1422,12/2012,JFK - New York,Yes,Yes,171,171,342,"1,781",10,"1,793",10
Sub-Total for Yes,,,,,197,196,393,"1,954",9,"1,950",9
Sub-Total for JFK - New York,,,,,"16,840","16,880","33,720","2,729,003",162,"2,735,656",162
1423,12/2012,LAS - Las Vegas,No,No,"14,254","14,198","28,452","1,961,879",137,"1,955,760",137
1424,12/2012,LAS - Las Vegas,No,Yes,353,343,696,"2,734",7,"2,686",7
Sub-Total for No,,,,,"14,607","14,541","29,148","1,964,613",134,"1,958,446",134
1425,12/2012,LAS - Las Vegas,Yes,Yes,"1,828","1,842","3,670","19,481",10,"19,621",10
Sub-Total for Yes,,,,,"2,181","2,185","4,366","22,215",10,"22,307",10
Sub-Total for LAS - Las Vegas,,,,,"16,435","16,383","32,818","1,984,094",120,"1,978,067",120
1426,12/2012,LAX - Los Angeles,No,No,"23,934","23,776","47,710","3,387,584",141,"3,366,567",141
1427,12/2012,LAX - Los Angeles,No,Yes,48,49,97,316,6,319,6
Sub-Total for No,,,,,"23,982","23,825","47,807","3,387,900",141,"3,366,886",141
1428,12/2012,LAX - Los Angeles,Yes,Yes,780,773,"1,553","9,110",11,"9,034",11
Sub-Total for Yes,,,,,828,822,"1,650","9,426",11,"9,353",11
Sub-Total for LAX - Los Angeles,,,,,"24,762","24,598","49,360","3,397,010",137,"3,375,920",137
1429,12/2012,LGA - New York,No,No,"14,425","14,426","28,851","1,471,578",102,"1,470,882",101
1430,12/2012,LGA - New York,No,Yes,30,35,65,275,9,311,8
Sub-Total for No,,,,,"14,455","14,461","28,916","1,471,853",101,"1,471,193",101
1431,12/2012,LGA - New York,Yes,Yes,316,312,628,"3,634",11,"3,599",11
Sub-Total for Yes,,,,,346,347,693,"3,909",11,"3,910",11
Sub-Total for LGA - New York,,,,,"14,771","14,773","29,544","1,475,487",99,"1,474,792",99
1432,12/2012,MCO - Orlando,No,No,"12,228","12,197","24,425","1,789,299",146,"1,788,310",146
1433,12/2012,MCO - Orlando,No,Yes,172,178,350,900,5,887,4
Sub-Total for No,,,,,"12,400","12,375","24,775","1,790,199",144,"1,789,197",144
1434,12/2012,MCO - Orlando,Yes,Yes,562,568,"1,130","5,834",10,"5,867",10
Sub-Total for Yes,,,,,734,746,"1,480","6,734",9,"6,754",9
Sub-Total for MCO - Orlando,,,,,"12,962","12,943","25,905","1,796,033",138,"1,795,064",138
1435,12/2012,MIA - Miami,No,No,"16,328","16,332","32,660","2,530,702",154,"2,535,353",155
1436,12/2012,MIA - Miami,No,Yes,203,176,379,"1,568",7,"1,333",7
Sub-Total for No,,,,,"16,531","16,508","33,039","2,532,270",153,"2,536,686",153
1437,12/2012,MIA - Miami,Yes,Yes,"1,144","1,207","2,351","12,613",11,"13,252",10
Sub-Total for Yes,,,,,"1,347","1,383","2,730","14,181",10,"14,585",10
Sub-Total for MIA - Miami,,,,,"17,675","17,715","35,390","2,544,883",143,"2,549,938",143
1438,12/2012,MSP - Minneapolis,No,No,"15,819","15,852","31,671","1,595,416",100,"1,599,797",100
1439,12/2012,MSP - Minneapolis,No,Yes,234,226,460,"1,184",5,"1,132",5
Sub-Total for No,,,,,"16,053","16,078","32,131","1,596,600",99,"1,600,929",99
1440,12/2012,MSP - Minneapolis,Yes,Yes,519,522,"1,041","5,828",11,"5,842",11
Sub-Total for Yes,,,,,753,748,"1,501","7,012",9,"6,974",9
Sub-Total for MSP - Minneapolis,,,,,"16,572","16,600","33,172","1,602,428",96,"1,606,771",96
1441,12/2012,ORD - Chicago,No,No,"33,424","33,329","66,753","3,342,918",100,"3,335,004",100
1442,12/2012,ORD - Chicago,No,Yes,191,186,377,"2,289",11,"2,246",12
Sub-Total for No,,,,,"33,615","33,515","67,130","3,345,207",99,"3,337,250",99
1443,12/2012,ORD - Chicago,Yes,Yes,251,247,498,"2,792",11,"2,727",11
Sub-Total for Yes,,,,,442,433,875,"5,081",11,"4,973",11
Sub-Total for ORD - Chicago,,,,,"33,866","33,762","67,628","3,347,999",98,"3,339,977",98
1444,12/2012,PHL - Philadelphia,No,No,"17,251","17,186","34,437","1,548,460",89,"1,547,047",90
1445,12/2012,PHL - Philadelphia,No,Yes,135,124,259,810,6,742,5
Sub-Total for No,,,,,"17,386","17,310","34,696","1,549,270",89,"1,547,789",89
1446,12/2012,PHL - Philadelphia,Yes,Yes,571,570,"1,141","6,230",10,"6,158",10
Sub-Total for Yes,,,,,706,694,"1,400","7,040",9,"6,900",9
Sub-Total for PHL - Philadelphia,,,,,"17,957","17,880","35,837","1,555,500",86,"1,553,947",86
1447,12/2012,PHX - Phoenix,No,No,"17,380","17,011","34,391","2,092,210",120,"2,082,164",122
1448,12/2012,PHX - Phoenix,No,Yes,540,459,999,"2,285",4,"1,826",3
Sub-Total for No,,,,,"17,920","17,470","35,390","2,094,495",116,"2,083,990",119
1449,12/2012,PHX - Phoenix,Yes,Yes,552,551,"1,103","5,380",9,"5,408",9
Sub-Total for Yes,,,,,"1,092","1,010","2,102","7,665",7,"7,234",7
Sub-Total for PHX - Phoenix,,,,,"18,472","18,021","36,493","2,099,875",113,"2,089,398",115
1450,12/2012,SEA - Seattle,No,No,"12,048","12,038","24,086","1,577,167",130,"1,575,488",130
1451,12/2012,SEA - Seattle,No,Yes,106,114,220,47,0,51,0
Sub-Total for No,,,,,"12,154","12,152","24,306","1,577,214",129,"1,575,539",129
1452,12/2012,SEA - Seattle,Yes,Yes,49,52,101,579,11,612,11
Sub-Total for Yes,,,,,155,166,321,626,4,663,3
Sub-Total for SEA - Seattle,,,,,"12,203","12,204","24,407","1,577,793",129,"1,576,151",129
1453,12/2012,SFO - San Francisco,No,No,"15,917","15,896","31,813","2,195,037",137,"2,192,699",137
1454,12/2012,SFO - San Francisco,No,Yes,118,114,232,762,6,713,6
Sub-Total for No,,,,,"16,035","16,010","32,045","2,195,799",136,"2,193,412",137
1455,12/2012,SFO - San Francisco,Yes,Yes,624,633,"1,257","6,950",11,"7,024",11
Sub-Total for Yes,,,,,742,747,"1,489","7,712",10,"7,737",10
Sub-Total for SFO - San Francisco,,,,,"16,659","16,643","33,302","2,202,749",132,"2,200,436",132
Sub-Total for 12/2012,,,,,"398,687","397,052","795,739","45,941,265",115,"45,836,900",115
1456,01/2013,ATL - Atlanta,No,No,"36,579","36,473","73,052","4,715,779",128,"4,704,890",128
1457,01/2013,ATL - Atlanta,No,Yes,143,143,286,"1,476",10,"1,511",10
Sub-Total for No,,,,,"36,722","36,616","73,338","4,717,255",128,"4,706,401",128
1458,01/2013,ATL - Atlanta,Yes,Yes,229,222,451,"2,205",9,"2,139",9
Sub-Total for Yes,,,,,372,365,737,"3,681",9,"3,650",10
Sub-Total for ATL - Atlanta,,,,,"36,951","36,838","73,789","4,719,460",127,"4,708,540",127
1459,01/2013,BOS - Boston,No,No,"11,136","11,099","22,235","1,380,542",123,"1,381,888",124
1460,01/2013,BOS - Boston,No,Yes,"1,133",926,"2,059","5,043",4,"4,235",4
Sub-Total for No,,,,,"12,269","12,025","24,294","1,385,585",112,"1,386,123",115
1461,01/2013,BOS - Boston,Yes,Yes,593,607,"1,200","6,307",10,"6,456",10
Sub-Total for Yes,,,,,"1,726","1,533","3,259","11,350",6,"10,691",6
Sub-Total for BOS - Boston,,,,,"12,862","12,632","25,494","1,391,892",108,"1,392,579",110
1462,01/2013,CLT - Charlotte,No,No,"21,355","21,327","42,682","2,142,163",100,"2,141,780",100
1463,01/2013,CLT - Charlotte,No,Yes,373,368,741,"2,749",7,"2,678",7
Sub-Total for No,,,,,"21,728","21,695","43,423","2,144,912",98,"2,144,458",98
1464,01/2013,CLT - Charlotte,Yes,Yes,743,749,"1,492","8,714",11,"8,746",11
Sub-Total for Yes,,,,,"1,116","1,117","2,233","11,463",10,"11,424",10
Sub-Total for CLT - Charlotte,,,,,"22,471","22,444","44,915","2,153,626",95,"2,153,204",95
1465,01/2013,DEN - Denver,No,No,"23,735","23,653","47,388","2,462,126",103,"2,453,219",103
1466,01/2013,DEN - Denver,No,Yes,200,191,391,"1,443",7,"1,409",7
Sub-Total for No,,,,,"23,935","23,844","47,779","2,463,569",102,"2,454,628",102
1467,01/2013,DEN - Denver,Yes,Yes,159,153,312,"1,877",11,"1,815",11
Sub-Total for Yes,,,,,359,344,703,"3,320",9,"3,224",9
Sub-Total for DEN - Denver,,,,,"24,094","23,997","48,091","2,465,446",102,"2,456,443",102
1468,01/2013,DFW - Dallas/Ft. Worth,No,No,"27,272","27,217","54,489","3,197,822",117,"3,190,509",117
1469,01/2013,DFW - Dallas/Ft. Worth,No,Yes,190,168,358,"2,105",11,"1,796",10
Sub-Total for No,,,,,"27,462","27,385","54,847","3,199,927",116,"3,192,305",116
1470,01/2013,DFW - Dallas/Ft. Worth,Yes,Yes,242,242,484,"2,381",9,"2,380",9
Sub-Total for Yes,,,,,432,410,842,"4,486",10,"4,176",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"27,704","27,627","55,331","3,202,308",115,"3,194,685",115
1471,01/2013,DTW - Detroit,No,No,"15,926","15,873","31,799","1,562,088",98,"1,558,302",98
1472,01/2013,DTW - Detroit,No,Yes,59,55,114,350,5,325,5
